Member,2019-05-20 21:00:00,2019-05-20 21:15:00,2019-05-20 21:30:00,2019-05-20 21:45:00,2019-05-20 22:00:00,2019-05-20 22:15:00,2019-05-20 22:30:00
1,12.222222222222223,13.055555555555555,11.944444444444443,11.388888888888888,10.277777777777777,10.0,10.0
2,11.666666666666666,6.666666666666667,10.277777777777777,10.0,8.333333333333334,7.222222222222221,8.61111111111111
3,21.38888888888889,16.666666666666668,12.5,11.388888888888888,10.277777777777779,10.277777777777777,10.833333333333334
4,14.444444444444445,14.444444444444443,11.666666666666666,9.166666666666666,9.722222222222221,10.0,11.111111111111112
5,14.166666666666666,13.333333333333334,11.666666666666666,10.0,9.166666666666666,11.111111111111109,11.111111111111112
6,10.555555555555555,6.9444444444444455,5.277777777777778,5.555555555555556,8.055555555555557,9.722222222222221,10.0
7,17.5,16.11111111111111,12.222222222222221,10.555555555555555,11.388888888888888,11.388888888888888,10.277777777777777
8,14.444444444444445,14.444444444444443,11.944444444444443,10.277777777777777,10.0,9.722222222222223,8.055555555555555
9,14.444444444444445,13.333333333333334,12.5,8.333333333333334,4.444444444444445,5.833333333333333,11.111111111111109
10,7.222222222222222,10.555555555555555,8.611111111111112,7.222222222222222,8.333333333333334,10.0,11.944444444444443
11,15.0,11.111111111111109,6.388888888888888,7.222222222222222,10.833333333333334,11.944444444444445,13.055555555555557
12,10.833333333333334,7.777777777777779,10.555555555555555,10.555555555555555,11.388888888888891,11.111111111111112,8.333333333333334
13,14.444444444444445,5.555555555555556,5.0,11.388888888888888,11.944444444444443,11.388888888888888,10.277777777777777
14,14.166666666666666,12.222222222222223,6.666666666666667,6.527777777777779,7.5,7.638888888888889,6.111111111111112
15,9.722222222222223,8.333333333333334,6.9444444444444455,6.666666666666667,6.944444444444444,8.055555555555555,7.777777777777779
16,8.88888888888889,8.611111111111112,10.0,11.111111111111109,10.555555555555555,12.222222222222221,15.833333333333336
17,10.0,10.0,9.722222222222223,7.5,3.055555555555556,4.444444444444444,10.833333333333334
18,21.11111111111111,20.833333333333332,17.5,16.944444444444443,18.055555555555554,18.055555555555554,15.833333333333334
19,8.055555555555557,9.722222222222223,9.166666666666666,5.555555555555556,4.166666666666667,7.222222222222224,14.444444444444445
20,10.277777777777777,7.222222222222222,6.944444444444444,13.333333333333334,14.861111111111112,14.166666666666666,14.583333333333334
21,12.777777777777779,8.611111111111112,6.9444444444444455,7.222222222222222,9.444444444444445,10.0,10.0
22,12.777777777777779,10.555555555555555,10.277777777777777,10.833333333333334,8.611111111111112,7.5,10.555555555555555
23,7.222222222222222,9.722222222222223,11.111111111111109,10.277777777777779,10.277777777777777,12.222222222222221,16.944444444444446
24,11.111111111111109,11.666666666666666,11.944444444444445,13.055555555555557,13.611111111111112,14.722222222222223,14.444444444444445
25,7.5,11.944444444444445,10.277777777777779,8.333333333333334,7.222222222222222,8.888888888888888,12.5
26,11.944444444444445,11.388888888888888,9.166666666666666,9.722222222222221,10.0,9.722222222222223,8.055555555555555
27,9.166666666666666,11.944444444444445,8.055555555555555,8.055555555555555,8.611111111111112,10.277777777777779,12.777777777777779
28,8.88888888888889,4.722222222222222,5.0,6.666666666666667,8.055555555555555,8.611111111111112,9.722222222222223
29,13.888888888888891,10.555555555555555,9.722222222222223,8.055555555555555,5.833333333333333,7.5,13.333333333333334
30,10.277777777777777,11.388888888888888,12.5,15.833333333333336,15.555555555555557,11.388888888888891,11.944444444444445
31,8.333333333333334,9.444444444444445,9.444444444444445,7.777777777777779,9.444444444444445,10.0,10.0
32,6.944444444444444,0.2777777777777777,11.111111111111109,15.0,10.833333333333334,10.0,16.38888888888889
33,11.944444444444443,10.0,8.611111111111112,8.055555555555555,6.388888888888889,4.722222222222222,9.166666666666666
34,6.666666666666667,5.555555555555556,8.333333333333334,11.388888888888888,12.5,10.555555555555555,10.0
35,15.0,12.222222222222221,12.222222222222221,14.166666666666666,13.055555555555557,10.833333333333334,11.944444444444443
36,13.055555555555557,11.666666666666666,10.277777777777779,10.0,10.0,10.277777777777777,11.944444444444443
MRMS,11.111111111111109,11.666666666666666,11.666666666666666,11.666666666666666,11.666666666666666,11.666666666666666,12.222222222222223
